timestamp,sucesso,latencia_ms,erro
2026-04-07T11:55:40.731658,True,,
2026-04-07T11:55:40.847338,True,,
2026-04-07T11:55:45.823939,True,,
2026-04-07T11:55:45.873213,True,,
2026-04-07T11:55:50.851939,True,,
2026-04-07T11:55:50.899535,True,,
2026-04-07T11:55:55.879759,True,,
2026-04-07T11:55:55.930189,True,,
2026-04-07T11:56:00.906083,True,,
2026-04-07T11:56:00.957728,True,,
2026-04-07T11:56:05.933544,True,,
2026-04-07T11:56:05.988322,True,,
2026-04-07T11:56:10.986164,True,,
2026-04-07T11:56:11.012329,True,,
2026-04-07T11:56:16.013579,True,,
2026-04-07T11:56:16.037385,True,,
2026-04-07T11:56:21.039889,True,,
2026-04-07T11:56:21.065503,True,,
2026-04-07T11:56:26.071301,True,,
2026-04-07T11:56:26.091470,True,,
2026-04-07T11:56:31.098149,True,,
2026-04-07T11:56:31.116112,True,,
2026-04-07T11:56:36.123574,True,,
2026-04-07T11:56:36.141076,True,,
2026-04-07T11:56:41.152435,True,,
2026-04-07T11:56:41.167941,True,,
2026-04-07T11:56:46.180225,True,,
2026-04-07T11:56:46.194878,True,,
2026-04-07T11:56:51.205224,True,,
2026-04-07T11:56:51.218564,True,,
2026-04-07T11:56:56.237746,True,,
2026-04-07T11:56:56.247784,True,,
2026-04-07T11:57:01.267331,True,,
2026-04-07T11:57:01.274252,True,,
2026-04-07T11:57:06.292463,True,,
2026-04-07T11:57:06.298992,True,,
2026-04-07T11:57:11.318875,True,,
2026-04-07T11:57:11.324526,True,,
2026-04-07T11:57:16.346758,True,,
2026-04-07T11:57:16.349233,True,,
2026-04-07T11:57:21.377885,True,,
2026-04-07T11:57:21.380408,True,,
2026-04-07T11:57:26.418988,True,,
2026-04-07T11:57:26.419077,True,,
2026-04-07T11:57:31.452784,True,,
2026-04-07T11:57:36.482344,True,,
2026-04-07T11:57:36.482408,True,,
2026-04-07T11:57:41.510153,True,,
2026-04-07T11:57:41.510081,True,,
2026-04-07T11:57:46.538439,True,,
2026-04-07T11:57:51.568706,True,,
2026-04-07T11:57:56.595011,True,,
2026-04-07T11:57:56.594849,True,,
2026-04-07T11:58:01.625125,True,,
2026-04-07T11:58:01.625060,True,,
2026-04-07T11:58:06.652073,True,,
2026-04-07T11:58:11.677971,True,,
2026-04-07T11:58:11.677910,True,,
